id,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
948,300157,恒泰艾普,0.13,-7.14,,3.31,,7505.17,-7.73,,04-26
949,601900,南方传媒,0.58,20.83,,17.74,,37698.24,22.09,,04-26
950,300497,富祥股份,1.73,74.75,,29.65,,9360.18,75.15,,04-26
951,300206,理邦仪器,0.44,540.2,,8.59,,10320.92,668.34,,04-26
952,603997,继峰股份,0.44,-21.43,,15.11,,17636.46,-12.54,,04-26
953,600892,大晟文化,-0.02,-200.0,,-14.1,,-98.03,-179.72,,04-26
954,600559,老白干酒,0.54,28.57,,10.83,,7504.19,26.89,10派3转15,04-26
955,000897,津滨发展,-0.12,-1936.51,,-13.99,,-18707.89,-1936.74,,04-26
956,300302,同有科技,0.34,41.67,,12.27,,6589.69,154.12,,04-26
957,600998,九州通,0.43,19.44,,8.42,,69453.49,23.87,,04-26
958,000983,西山煤电,0.04,-48.33,,0.88,,14104.77,-48.37,10派0.02,04-26
959,603555,贵人鸟,0.54,4.99,,14.36,,33183.7,6.28,,04-26
960,002002,鸿达兴业,0.57,40.77,,15.28,,51908.51,49.57,10派2.02749送5.06872转10.1374,04-26
961,601208,东材科技,0.1,-62.96,,2.76,,6110.56,-63.07,,04-26
962,300405,科隆股份,-0.42,-159.46,,-4.77,,-2869.19,-175.11,,04-26
963,002098,浔兴股份,0.23,-53.56,,10.1,,7196.83,-7.97,10派0.8,04-26
964,300178,腾邦国际,0.27,-48.72,,11.16,,14551.44,12.06,,04-26
965,603015,弘讯科技,0.35,-44.44,,6.99,,6706.65,-28.54,,04-26
966,300275,梅安森,-0.4,-322.22,,-10.69,,-6643.19,-322.2,,04-26
967,600565,迪马股份,0.2,-37.5,,7.9,,46850.41,-23.87,10派0.6,04-26
968,300001,特锐德,0.16,-60.0,,9.06,,14560.98,-8.47,,04-26
969,300323,华灿光电,-0.14,-170.0,,-5.58,,-9596.39,-205.56,,04-26
970,002259,升达林业,0.02,-12.5,,1.61,,1370.05,-10.84,,04-26
971,601566,九牧王,0.7,14.75,,9.37,,40425.08,15.33,,04-26
972,002071,长城影视,0.44,2.33,,22.28,,23193.37,15.67,,04-26
973,601789,宁波建工,0.39,3.87,,8.41,,19100.49,3.86,,04-26
974,300459,金科文化,0.19,-58.7,,9.06,,4847.77,33.99,,04-26
975,600398,海澜之家,0.66,22.22,,40.02,,295313.17,24.35,10派3.3,04-26
976,002749,国光股份,1.88,-8.82,,19.02,,13381.39,8.28,,04-26
977,300183,东软载波,0.62,-44.18,,13.47,,27599.21,12.52,,04-26
