id,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300701,森霸股份,0.78,30.0,2.85,30.46,0.97,4684.21,29.73,,08-31
1,002899,英派斯,0.95,11.76,4.82,21.42,1.01,8518.96,11.83,,08-28
2,603321,梅轮电梯,0.39,-20.41,2.18,20.38,0.22,9061.55,-19.17,,08-28
3,603648,畅联股份,0.47,0.0,3.13,16.27,0.47,13041.71,9.47,,08-24
4,300700,岱勒新材,0.64,30.61,3.81,18.22,0.3,3929.99,28.59,,08-22
5,603386,广东骏亚,0.4,-2.44,,25.45,0.48,6043.95,-2.76,,08-22
6,002897,意华股份,1.24,16.98,6.68,20.22,1.47,9910.4,16.95,,08-21
7,603277,银都股份,0.72,44.0,,46.45,0.63,24197.6,44.06,10派0.75,08-21
8,603882,金域医学,0.44,15.79,2.83,16.75,0.75,17003.52,29.37,,08-21
9,002898,赛隆药业,0.51,-7.64,2.12,25.65,0.66,6124.87,-3.27,,08-21
10,002896,中大力德,0.78,44.44,4.55,18.73,1.37,4675.58,53.17,,08-16
11,603527,众源新材,0.8,19.4,4.05,21.61,0.76,7448.5,21.23,10派2.2,08-16
12,300697,电工合金,0.46,2.7,3.28,16.49,-0.65,5485.46,2.83,,08-16
13,603500,祥和实业,0.78,-21.21,3.82,22.79,0.81,7412.32,-16.98,,08-15
14,603183,建研院,0.83,22.06,4.98,18.17,0.75,5497.37,32.12,,08-15
15,300699,光威复材,0.72,12.5,5.12,15.19,0.07,19934.3,13.01,,08-15
16,300698,万马科技,0.37,8.82,1.83,22.34,0.16,3691.57,9.33,,08-14
17,300696,爱乐达,1.32,29.41,5.53,26.5,0.12,6818.36,35.3,,08-09
18,603079,圣达生物,1.02,-29.66,,12.98,1.22,6093.56,-29.72,,08-09
19,603127,昭衍新药,0.84,5.0,4.24,22.1,1.94,5169.25,5.12,,08-07
20,300695,兆丰股份,3.97,76.44,9.31,46.35,3.91,19866.78,76.25,,08-07
21,002895,川恒股份,0.34,4.27,,8.2,0.52,12233.42,4.26,,08-07
22,002893,华通热力,0.55,0.0,3.6,15.78,2.4,4947.82,-0.2,,08-07
23,002891,中宠股份,0.9,21.62,4.32,23.42,0.89,6727.5,20.81,,07-31
24,603976,正川股份,0.87,16.0,6.36,14.57,0.32,7051.13,16.17,,07-31
25,603557,起步股份,0.42,7.69,2.29,19.97,0.24,17566.54,16.62,,07-31
26,603181,皇马科技,0.6,-20.0,4.4,15.13,0.98,9013.0,39.29,,07-31
27,300693,盛弘股份,0.93,27.4,3.68,29.5,0.19,6386.16,48.5,,07-31
28,603129,春风动力,0.88,23.94,3.87,25.42,2.47,8826.78,48.89,,07-31
29,300692,中环环保,0.58,16.0,5.58,10.9,0.99,4618.78,40.74,,07-31
30,601949,中国出版,0.4,-11.11,2.95,14.39,0.3,58098.97,-11.51,,07-31
31,002892,科力尔,1.02,13.33,3.7,31.59,0.96,6751.32,13.1,,07-31
32,300689,澄天伟业,0.83,53.7,5.26,17.52,1.28,4257.77,54.65,,07-27
33,300688,创业黑马,0.79,618.18,3.46,26.18,0.84,4053.8,660.68,,07-27
34,300690,双一科技,2.07,5.08,7.52,30.97,2.0,10770.27,5.24,,07-26
35,603602,纵横通信,0.9,11.11,5.29,18.32,1.96,5370.69,10.67,,07-25
36,300691,联合光电,1.17,58.11,6.06,21.38,0.61,7510.4,68.7,,07-25
37,603359,东珠景观,1.09,17.2,7.15,16.42,1.44,18523.34,22.48,,07-24
